"measure";"siteName";"date";"value";"value_load";"value_pmmv";"value_avg14d_past";"value_load_avg14d_past";"value_pmmv_avg14d_past"
"SARS-CoV-2";"Belgium";2023-07-03;8.46272041547224;197220255944.279;0.000133121053358813;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-04;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-05;9.92;272161866860.468;7.22681632587347e-05;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-06;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-07;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-08;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-09;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-10;24.4796728983671;502295547495.813;8.96790987644534e-05;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-11;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-12;45.2622164234886;1025916129663.45;9.74080939088945e-05;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-13;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-14;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-15;NA;NA;NA;NA;NA;NA
"SARS-CoV-2";"Belgium";2023-07-16;NA;NA;NA;23.5307638035502;531657303904.541;8.93091792497516e-05
"SARS-CoV-2";"Belgium";2023-07-17;18.96;423032233339.042;7.14515918480065e-05;24.2805694881594;547786730861.309;8.49042177132654e-05
"SARS-CoV-2";"Belgium";2023-07-18;NA;NA;NA;24.6597580447496;551685411161.24;8.51270142989301e-05
"SARS-CoV-2";"Belgium";2023-07-19;10.04;155512937863.758;0.000140175929168154;24.6683294733211;543353344804.332;8.99775690067457e-05
"SARS-CoV-2";"Belgium";2023-07-20;NA;NA;NA;24.4844739822808;532819639493.711;9.59697220613274e-05
"SARS-CoV-2";"Belgium";2023-07-21;NA;NA;NA;24.1081915716289;520084295229.376;0.000103103473462675
"SARS-CoV-2";"Belgium";2023-07-22;NA;NA;NA;23.5394822413654;505147312011.328;0.000111378823210789
"SARS-CoV-2";"Belgium";2023-07-23;NA;NA;NA;22.7783459914901;488008689839.567;0.000120795771305669
"SARS-CoV-2";"Belgium";2023-07-24;NA;NA;NA;21.8247828220032;468668428714.092;0.000131354317747314
"SARS-CoV-2";"Belgium";2023-07-25;NA;NA;NA;20.1445543626984;431713417566.565;0.000143027154644935
"SARS-CoV-2";"Belgium";2023-07-26;11.5657039357706;261939473289.331;0.000276427876859231;17.7376606135757;377143656396.985;0.00015581428199853
"SARS-CoV-2";"Belgium";2023-07-27;NA;NA;NA;15.6885741857061;336625949383.351;0.000167154165582531
"SARS-CoV-2";"Belgium";2023-07-28;NA;NA;NA;13.9972950790896;310160296525.664;0.000177046805396937
"SARS-CoV-2";"Belgium";2023-07-29;NA;NA;NA;12.6638232937262;297746697823.923;0.000185492201441748
"SARS-CoV-2";"Belgium";2023-07-30;NA;NA;NA;11.688158829616;299385153278.128;0.000192490353716965
"SARS-CoV-2";"Belgium";2023-07-31;10.31;642699367881.164;0.000149164310926713;11.0703016867588;315075662888.28;0.000198041262222587
"SARS-CoV-2";"Belgium";2023-08-01;NA;NA;NA;10.7283591423342;338420590188.753;0.000202765213562051
"SARS-CoV-2";"Belgium";2023-08-02;9.11560875611058;589503767734.896;0.00019473384759444;10.6623311963421;369419935179.549;0.000206662207735357
"SARS-CoV-2";"Belgium";2023-08-03;NA;NA;NA;10.7673663376686;399059717397.093;0.000211459906362901
"SARS-CoV-2";"Belgium";2023-08-04;NA;NA;NA;11.0434645663138;427339936841.387;0.000217158309444683
"SARS-CoV-2";"Belgium";2023-08-05;NA;NA;NA;11.4906258822775;454260593512.43;0.000223757416980703
"SARS-CoV-2";"Belgium";2023-08-06;NA;NA;NA;12.10885028556;479821687410.222;0.000231257228970962
"SARS-CoV-2";"Belgium";2023-08-07;22.1798133939648;570353327482.74;0.000355105979170439;12.898137776161;504023218534.763;0.000239657745415458
"SARS-CoV-2";"Belgium";2023-08-08;NA;NA;NA;13.595518405862;530318204447.111;0.000246699889323982
"SARS-CoV-2";"Belgium";2023-08-09;20.0423366989838;659377643091.501;0.000356000676074972;14.2009921746629;558706645147.266;0.000252383660696535
"SARS-CoV-2";"Belgium";2023-08-10;NA;NA;NA;14.9755714923379;582705176785.573;0.000260149487521617
"SARS-CoV-2";"Belgium";2023-08-11;NA;NA;NA;15.9192563588869;602313799362.033;0.000269997369799228
"SARS-CoV-2";"Belgium";2023-08-12;NA;NA;NA;17.0320467743099;617532512876.645;0.000281927307529369
"SARS-CoV-2";"Belgium";2023-08-13;NA;NA;NA;18.3139427386069;628361317329.409;0.000295939300712039
"SARS-CoV-2";"Belgium";2023-08-14;NA;NA;NA;19.7649442517779;634800212720.326;0.000312033349347238
"SARS-CoV-2";"Belgium";2023-08-15;NA;NA;NA;21.409769516308;644188468977.359;0.000326763919040654
"SARS-CoV-2";"Belgium";2023-08-16;34.8566949785588;762230407459;0.000381873118117308;23.2484185321972;656526086100.51;0.000340131009792287
"SARS-CoV-2";"Belgium";2023-08-17;NA;NA;NA;24.8919645115146;668267409963.632;0.000350314987722631
"SARS-CoV-2";"Belgium";2023-08-18;NA;NA;NA;26.3404074542604;679412440566.726;0.000357315852831686
"SARS-CoV-2";"Belgium";2023-08-19;NA;NA;NA;27.5937473604344;689961177909.793;0.000361133605119452
"SARS-CoV-2";"Belgium";2023-08-20;NA;NA;NA;28.6519842300368;699913621992.831;0.000361768244585928
"SARS-CoV-2";"Belgium";2023-08-21;34.263687056394;701339439004.886;0.000319427352203054;29.5151180630675;709269772815.841;0.000359219771231115
"SARS-CoV-2";"Belgium";2023-08-22;NA;NA;NA;29.7191664307647;700760025213.924;0.000359642674033814
"SARS-CoV-2";"Belgium";2023-08-23;13.671817332078;290118598715.669;0.000403520581517923;29.2641293331286;674384379187.079;0.000363036952994024
"SARS-CoV-2";"Belgium";2023-08-24;NA;NA;NA;28.7183033121739;649379615885.942;0.000367101778826146
"SARS-CoV-2";"Belgium";2023-08-25;NA;NA;NA;28.0816883679006;625745735310.513;0.000371837151530178
"SARS-CoV-2";"Belgium";2023-08-26;NA;NA;NA;27.3542845003087;603482737460.793;0.000377243071106122
"SARS-CoV-2";"Belgium";2023-08-27;NA;NA;NA;26.5360917093983;582590622336.781;0.000383319537553976
"SARS-CoV-2";"Belgium";2023-08-28;17.8982771851883;459546649777.744;0.000468939178296205;25.6271099951693;563069389938.477;0.00039006655087374
"SARS-CoV-2";"Belgium";2023-08-29;NA;NA;NA;24.5234423759549;549511361676.435;0.000405812903783461
"SARS-CoV-2";"Belgium";2023-08-30;16.6797456397612;655902869698.099;0.000728312813112788;23.225088851755;541916537550.657;0.000430558596283138
"SARS-CoV-2";"Belgium";2023-08-31;NA;NA;NA;22.2890970041549;540307004353.526;0.00045313856152719
"SARS-CoV-2";"Belgium";2023-09-01;NA;NA;NA;21.7154668331544;544682762085.044;0.000473552799515616
"SARS-CoV-2";"Belgium";2023-09-02;NA;NA;NA;21.5041983387537;555043810745.209;0.000491801310248416
"SARS-CoV-2";"Belgium";2023-09-03;NA;NA;NA;21.6552915209526;571390150334.023;0.000507884093725591
"SARS-CoV-2";"Belgium";2023-09-04;41.4520550795749;1013982266249.35;0.000514266139304743;22.1687463797513;593721780851.484;0.00052180114994714
"SARS-CoV-2";"Belgium";2023-09-05;NA;NA;NA;22.6402030893943;610931887455.087;0.000538015766034446
"SARS-CoV-2";"Belgium";2023-09-06;19.6842371789029;459358756372.085;0.000662691044860809;23.0696616498818;623020470144.831;0.00055652794198751
"SARS-CoV-2";"Belgium";2023-09-07;NA;NA;NA;23.4067335042457;631901562166.645;0.000572176614256053
"SARS-CoV-2";"Belgium";2023-09-08;NA;NA;NA;23.651418652486;637575163520.527;0.000584961782840076
"SARS-CoV-2";"Belgium";2023-09-09;NA;NA;NA;23.8037170946027;640041274206.48;0.000594883447739579
